༄༅།། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།	The Way of the Bodhisattva The Excellence of Bodhichitta Homage to all Buddhas and Bodhisattvas.
སེམས་ཅན་དེ་དག་ཐམས་ཅད་ནི།། ཚེ་ཡང་དཔག་མེད་རིང་བར་ཤོག།	And may these beings, each and every one, Enjoy an unsurpassed longevity.
རྟག་ཏུ་བདེ་བར་འཚོ་འགྱུར་ཞིང་།། འཆི་བའི་སྒྲ་ཡང་གྲགས་མ་གྱུར།།	Living always in contentment, May the very name of death be strange to them.
དཔག་བསམ་ཤིང་གི་སྐྱེད་མོས་ཚལ།། སངས་རྒྱས་དང་ནི་སངས་རྒྱས་སྲས།། ཆོས་སྙན་སྒྲོགས་པས་གང་བ་ཡིས།། ཕྱོགས་རྣམས་ཐམས་ཅད་གང་བར་ཤོག།	In all the ten directions and on every side May groves of wish-fulfilling trees abound, Resounding with the sweetness of the Teachings, Spoken by the Buddhas and their Bodhisattva heirs.
ཐམས་ཅད་དུ་ཡང་ས་གཞི་དག། གསེག་མ་ལ་སོགས་མེད་པ་དང་།། ལག་མཐིལ་ལྟར་མཉམ་བཻཌཱུཪྻའི།། རང་བཞིན་འཇམ་པོར་གནས་གྱུར་ཅིག།	And may the earth be wholesome everywhere, Free from boulders, cliffs, and chasms, Flat and even like a level palm, And smooth like lapis lazuli.
འཁོར་གྱི་དཀྱིལ་འཁོར་ཡོད་དགུར་ཡང་།། བྱང་ཆུབ་སེམས་དཔའ་མང་པོ་དག། རང་གི་ལེགས་པས་ས་སྟེང་དག། བརྒྱན་པར་མཛད་པས་བཞུགས་གྱུར་ཅིག།	For many circles of disciples, May multitudes of Bodhisattvas Live in every land, Adorning them with every excellence.
ལུས་ཅན་ཀུན་གྱིས་བྱ་དང་ནི།། ཤིང་དང་འོད་ཟེར་ཐམས་ཅད་དང་།། ནམ་མཁའ་ལས་ཀྱང་ཆོས་ཀྱི་སྒྲ།། རྒྱུན་མི་འཆད་པར་ཐོས་པར་ཤོག།	From birdsong and the sighing of the trees, From shafts of light and from the sky itself, May living beings, each and every one, Perceive the constant sound of Dharma.
དེ་དག་རྟག་ཏུ་སངས་རྒྱས་དང་།། སངས་རྒྱས་སྲས་དང་ཕྲད་གྱུར་ཅིག།	And always may they come into the presence of the Buddhas, And meet with Bodhisattvas, offspring of the same.
མཆོད་པའི་སྤྲིན་ནི་མཐའ་ཡས་པས།། འགྲོ་བའི་བླ་མ་མཆོད་པར་ཤོག།	With clouds of offerings unbounded, May the teachers of the world be worshipped.
ལྷ་ཡང་དུས་སུ་ཆར་འབེབས་ཤིང་།། ལོ་ཏོག་ཕུན་སུམ་ཚོགས་པར་ཤོག།	May kindly spirits bring the rains on time, For harvests to be rich and plentiful.
རྒྱལ་པོ་ཆོས་བཞིན་བྱེད་གྱུར་ཅིག། འཇིག་རྟེན་དག་ཀྱང་དར་བར་ཤོག།	May princes rule according to the Dharma; May the world be blessed with all prosperity.
སྨན་རྣམས་མཐུ་དང་ལྡན་པ་དང་།། གསང་སྔགས་བཟླས་བརྗོད་འགྲུབ་པར་ཤོག།	May medicines be full of strength; May secret words of power be chanted with success.
མཁའ་འགྲོ་སྲིན་པོ་ལ་སོགས་པ།། སྙིང་རྗེའི་སེམས་དང་ལྡན་གྱུར་ཅིག།	May spirits of the air that feed on flesh Be kind, their minds imbued with pity.
སེམས་ཅན་འགའ་ཡང་སྡུག་མ་གྱུར།།	May beings never suffer anguish.
སྡིག་པར་མ་གྱུར་ནམ་གྱུར།།	Let them not be sick nor evilly behave.
འཇིགས་དང་བརྙས་པར་མི་འགྱུར་ཞིང་།།	May they have no fear, nor suffer insults.
འགའ་ཡང་ཡིད་མི་བདེ་མ་གྱུར།།	Always may their minds be free from sorrow.
གཙུག་ལག་ཁང་རྣམས་ཀློག་པ་དང་།། ཁ་ཏོན་གྱིས་རྒྱས་ལེགས་གནས་ཤོག།	In monasteries, temples, and the like, May reading and reciting widely flourish.
རྟག་ཏུ་དགེ་འདུན་མཐུན་པ་དང་།། དགེ་འདུན་དོན་ཡང་འགྲུབ་པར་ཤོག།	May harmony prevail among the Saṅgha; May its purposes be all fulfilled.
བསླབ་པ་འདོད་པའི་དགེ་སློང་དག། དབེན་པ་དག་ཀྱང་ཐོབ་པར་ཤོག། གཡེང་བ་ཐམས་ཅད་སྤངས་ནས་ནི།། སེམས་ནི་ལས་རུང་སྒོམ་གྱུར་ཅིག།	May ordained monks, intent upon the practice, Find perfect places for retreat in solitude, Abandon every vagrant thought, And meditate with trained and serviceable minds.
དགེ་སློང་མ་རྣམས་རྙེད་ལྡན་ཞིང་།། འཐབ་དང་གནོད་པ་སྤོང་བར་ཤོག།	May nuns have all their wants supplied; May quarreling and spite be strange to them.
དེ་བཞིན་རབ་ཏུ་བྱུང་བ་ཀུན།། ཚུལ་ཁྲིམས་ཉམས་པ་མེད་གྱུར་ཅིག།	Let all who have embraced monastic life Uphold a pure and unimpaired observance.
ཚུལ་ཁྲིམས་འཆལ་བའི་ཡིད་བྱུང་ནས།། རྟག་ཏུ་སྡིག་པ་ཟད་བྱེད་ཤོག།	May those who break their discipline repent, And always may they strive to cleanse away their faults.
བདེ་འགྲོ་དག་ཀྱང་ཐོབ་གྱུར་ནས།། དེར་ཡང་བརྟུལ་ཞུགས་མི་ཉམས་ཤོག།	And thus may they acquire a fortunate rebirth, Wherein to practice stainless discipline.
མཁས་པ་རྣམས་ནི་བཀུར་བ་དང་།། བསོད་སྙོམས་དག་ཀྱང་རྙེད་པར་ཤོག།	May wise and learned beings be revered, And always be sustained by alms.
རྒྱུད་ནི་ཡོངས་སུ་དག་པ་དང་།། ཕྱོགས་རྣམས་ཀུན་ཏུ་གྲགས་པར་ཤོག།	May they be pure in mind, And may their fame spread far and wide.
ངན་སོང་སྡུག་བསྔལ་མི་མྱོང་ཞིང་།། དཀའ་བ་སྤྱོད་པ་མེད་པར་ཡང་།།	May beings never languish in the lower realms, May pain and hardship be unknown to them.
ལྷ་བས་ལྷག་པའི་ལུས་ཀྱིས་ནི།། དེ་དག་སངས་རྒྱས་མྱུར་འགྲུབ་ཤོག།	With bodies greater than the gods, May they attain enlightenment without delay.
སེམས་ཅན་ཀུན་གྱིས་ལན་མང་དུ།། སངས་རྒྱས་ཐམས་ཅད་མཆོད་བྱེད་ཅིང་།།	May beings time and time again Make offerings to all the Buddhas.
སངས་རྒྱས་བདེ་བ་བསམ་ཡས་ཀྱིས།། རྟག་ཏུ་བདེ་དང་ལྡན་གྱུར་ཅིག།	And with the Buddha’s unimagined bliss May they enjoy undimmed and constant happiness.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱིས་ནི།། འགྲོ་དོན་ཐུགས་ལ་དགོངས་འགྲུབ་ཤོག།	May all the Bodhisattvas now fulfill Their high intention for the sake of wanderers.
མགོན་པོ་ཡིས་ནི་གང་དགོངས་པ།། སེམས་ཅན་རྣམས་ལའང་དེ་འབྱོར་ཤོག།	May sentient beings now obtain All that their Guardians wish for them.
དེ་བཞིན་རང་སངས་རྒྱས་རྣམས་དང་།། ཉན་ཐོས་རྣམས་ཀྱང་བདེ་གྱུར་ཅིག།	And may the Hearers and Pratyekabuddhas Gain their perfect happiness.
བདག་ཀྱང་འཇམ་དབྱངས་བཀའ་དྲིན་གྱིས།། ས་རབ་དགའ་བ་ཐོབ་བར་དུ།། རྟག་ཏུ་ཚེ་རབས་དྲན་པ་དང་།། རབ་ཏུ་བྱུང་བ་ཐོབ་པར་ཤོག།	And till, through Mañjughoṣha’s perfect kindness, I attain the ground of Perfect Joy, May I remember all my lives And enter into the monastic state.
བདག་ནི་ཁ་ཟས་གྱི་ནས་ཀྱང་།། ཉམས་དང་ལྡན་ཞིང་འཚོ་བར་ཤོག།	Thus may I abide, sustained By simple, ordinary fare.
ཚེ་རབས་ཀུན་ཏུ་དབེན་གནས་པ།། ཕུན་སུམ་ལྡན་པ་ཐོབ་པར་ཤོག།	And in every life obtain A dwelling place in perfect solitude.
གང་ཚེ་བལྟ་བར་འདོད་པའམ།། ཅུང་ཟད་དྲི་བར་འདོད་ན་ཡང་།། མགོན་པོ་འཇམ་དབྱངས་དེ་ཉིད་ནི།། གེགས་མེད་པར་ཡང་མཐོང་བར་ཤོག།	Whenever I desire to gaze on him Or put to him the slightest question, May I behold with unobstructed sight My own protector Mañjughoṣha.
ཕྱོགས་བཅུ་ནམ་མཁའི་མཐས་གཏུགས་པར།། སེམས་ཅན་ཀུན་དོན་བསྒྲུབ་བྱའི་ཕྱིར།། ཇི་ལྟར་འཇམ་དབྱངས་སྤྱོད་མཛད་པ།། བདག་གི་སྤྱོད་པའང་དེ་འདྲར་ཤོག།	To satisfy the needs of beings Dwelling in the ten directions, to the margins of the sky, May I reflect in all my deeds The perfect exploits of Mañjushrī.
ཇི་སྲིད་ནམ་མཁའ་གནས་པ་དང་།། འགྲོ་བ་ཇི་སྲིད་གནས་གྱུར་པ།། དེ་སྲིད་བདག་ནི་གནས་གྱུར་ནས།། འགྲོ་བའི་སྡུག་བསྔལ་སེལ་བར་ཤོག།	And now as long as space endures, As long as there are beings to be found, May I continue likewise to remain To drive away the sorrows of the world.
